File_Path,Line_Number,Found_in_Function,Function_Definition_Line_Number,Assert_Statement_Type,Oracle_Argument_ Position,Differential_Function_Line_Number,Differential_Test_Function,Evaluation
test\test_jit_fuser_te.py,1783,test_type_as_cat,1773,assert_allclose,2,1785,UNSUPPORTED Name (named variable or defined function: eager),TODO
test\test_jit_fuser_te.py,1786,test_type_as_cat,1773,assert_allclose,1,1787,UNSUPPORTED Name (named variable or defined function: script),TODO
test\test_jit_fuser_te.py,1786,test_type_as_cat,1773,assert_allclose,2,1788,UNSUPPORTED Name (named variable or defined function: eager),TODO
test\test_jit_fuser_te.py,1831,_test_fwd_bwd,1814,assert_allclose,1,1819,fn,TODO
test\test_jit_fuser_te.py,1831,_test_fwd_bwd,1814,assert_allclose,2,1823,script,TODO
test\test_linalg.py,5601,_test_lobpcg_method,5582,assertLessEqual,2,5591,,TODO
test\test_linalg.py,5712,test_lobpcg_torchscript,5700,assertLess,1,5711,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5761,test_lobpcg_scipy,5718,assertLess,1,5761,UNSUPPORTED Name (named variable or defined function: abs),TODO
test\test_linalg.py,5767,test_lobpcg_scipy,5718,assertLess,1,5765,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5767,test_lobpcg_scipy,5718,assertLess,1,5785,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5767,test_lobpcg_scipy,5718,assertLess,1,5844,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5768,test_lobpcg_scipy,5718,assertLess,1,5766,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5768,test_lobpcg_scipy,5718,assertLess,1,5786,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5768,test_lobpcg_scipy,5718,assertLess,1,5849,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5768,test_lobpcg_scipy,5718,assertLess,1,5853,,TODO
test\test_linalg.py,5783,test_lobpcg_scipy,5718,assertLess,1,5783,UNSUPPORTED Name (named variable or defined function: abs),TODO
test\test_linalg.py,5787,test_lobpcg_scipy,5718,assertLess,1,5765,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5787,test_lobpcg_scipy,5718,assertLess,1,5785,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5787,test_lobpcg_scipy,5718,assertLess,1,5844,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5788,test_lobpcg_scipy,5718,assertLess,1,5766,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5788,test_lobpcg_scipy,5718,assertLess,1,5786,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5788,test_lobpcg_scipy,5718,assertLess,1,5849,UNSUPPORTED Binary Operation,TODO
test\test_linalg.py,5788,test_lobpcg_scipy,5718,assertLess,1,5853,,TODO
test\test_mobile_optimizer.py,160,forward,95,assert_allclose,1,160,UNSUPPORTED Name (named variable or defined function: bn_scripted_module),TODO
test\test_mobile_optimizer.py,160,forward,95,assert_allclose,2,160,UNSUPPORTED Name (named variable or defined function: bn_fold_scripted_module),TODO
test\test_mobile_optimizer.py,167,forward,95,assert_allclose,1,167,UNSUPPORTED Name (named variable or defined function: bn_scripted_module),TODO
test\test_mobile_optimizer.py,167,forward,95,assert_allclose,2,167,UNSUPPORTED Name (named variable or defined function: no_bn_fold_scripted_module),TODO
test\test_nn.py,232,test_doubletensor_avg_pool2d,224,allclose,1,229,torch.nn.functional.avg_pool2d,TODO
test\test_nn.py,232,test_doubletensor_avg_pool2d,224,allclose,1,230,actual.view,TODO
test\test_nn.py,232,test_doubletensor_avg_pool2d,224,allclose,2,231,self._avg_pool2d,TODO
test\test_nn.py,247,test_doubletensor_avg_pool2d_with_divisor,238,allclose,1,244,F.avg_pool2d,TODO
test\test_nn.py,247,test_doubletensor_avg_pool2d_with_divisor,238,allclose,1,245,actual.view,TODO
test\test_nn.py,247,test_doubletensor_avg_pool2d_with_divisor,238,allclose,2,246,UNSUPPORTED Binary Operation,TODO
test\test_nn.py,258,test_doubletensor_avg_pool3d,249,allclose,1,255,torch.nn.functional.avg_pool3d,TODO
test\test_nn.py,258,test_doubletensor_avg_pool3d,249,allclose,1,256,actual.view,TODO
test\test_nn.py,258,test_doubletensor_avg_pool3d,249,allclose,2,257,self._avg_pool3d,TODO
test\test_nn.py,270,test_doubletensor_avg_pool3d_with_divisor,260,allclose,1,267,torch.nn.functional.avg_pool3d,TODO
test\test_nn.py,270,test_doubletensor_avg_pool3d_with_divisor,260,allclose,1,268,actual.view,TODO
test\test_nn.py,270,test_doubletensor_avg_pool3d_with_divisor,260,allclose,2,269,UNSUPPORTED Binary Operation,TODO
test\test_nn.py,1063,_test_alpha_dropout,1054,assertLess,1,1063,UNSUPPORTED Name (named variable or defined function: abs),TODO
test\test_nn.py,1065,_test_alpha_dropout,1054,assertLess,1,1065,UNSUPPORTED Name (named variable or defined function: abs),TODO
test\test_nn.py,2072,test_clip_grad_norm,2043,assertLessEqual,1,2069,compute_norm,TODO
test\test_nn.py,2072,test_clip_grad_norm,2043,assertLessEqual,1,2082,compute_norm,TODO
test\test_nn.py,2072,test_clip_grad_norm,2043,assertLessEqual,2,2067,compute_norm,TODO
test\test_nn.py,2072,test_clip_grad_norm,2043,assertLessEqual,2,2080,compute_norm,TODO
test\test_nn.py,2085,test_clip_grad_norm,2043,assertLessEqual,1,2069,compute_norm,TODO
test\test_nn.py,2085,test_clip_grad_norm,2043,assertLessEqual,1,2082,compute_norm,TODO
test\test_nn.py,2085,test_clip_grad_norm,2043,assertLessEqual,2,2045,UNSUPPORTED Constant,TODO
test\test_nn.py,2110,test_clip_grad_value,2099,assertLessEqual,2,2101,UNSUPPORTED Constant,TODO
test\test_nn.py,2384,is_orthogonal,2382,allclose,2,2383,torch.eye,TODO
test\test_nn.py,4340,test_fb_fc_packed,4326,assert_allclose,1,4339,fc_op,TODO
test\test_nn.py,4340,test_fb_fc_packed,4326,assert_allclose,2,4338,torch.fbgemm_linear_fp16_weight,TODO
test\test_nn.py,4622,test_multihead_attention,4388,assert_allclose,1,4558,numpy,TODO
test\test_nn.py,4622,test_multihead_attention,4388,assert_allclose,2,4410,_softmax,TODO
test\test_nn.py,4622,test_multihead_attention,4388,assert_allclose,2,4413,_batchmatmul,TODO
test\test_nn.py,4622,test_multihead_attention,4388,assert_allclose,2,4443,np.reshape,TODO
test\test_nn.py,4622,test_multihead_attention,4388,assert_allclose,2,4448,np.reshape,TODO
test\test_nn.py,4622,test_multihead_attention,4388,assert_allclose,2,4617,_fc,TODO
test\test_nn.py,4622,test_multihead_attention,4388,assert_allclose,2,4618,np.squeeze,TODO
test\test_nn.py,4627,test_multihead_attention,4388,assert_allclose,1,4625,numpy,TODO
test\test_nn.py,4627,test_multihead_attention,4388,assert_allclose,2,4411,UNSUPPORTED Name (named variable or defined function: reference),TODO
test\test_nn.py,4627,test_multihead_attention,4388,assert_allclose,2,4412,UNSUPPORTED Binary Operation,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6295,model,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6297,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6303,model,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6304,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6310,model,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6311,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6317,model,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6320,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6326,model,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6327,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6331,model,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6334,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6350,model,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6361,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6367,model,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6368,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6374,model,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,1,6385,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,2,6296,torch.tensor,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,2,6298,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,2,6318,perm_fn,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,2,6321,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,2,6332,perm_fn,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,2,6335,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,2,6351,perm_fn,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,2,6362,numpy,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,2,6375,perm_fn,TODO
test\test_nn.py,6300,test_transformerencoderlayer,6270,assert_allclose,2,6386,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6295,model,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6297,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6303,model,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6304,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6310,model,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6311,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6317,model,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6320,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6326,model,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6327,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6331,model,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6334,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6350,model,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6361,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6367,model,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6368,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6374,model,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,1,6385,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,2,6296,torch.tensor,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,2,6298,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,2,6318,perm_fn,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,2,6321,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,2,6332,perm_fn,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,2,6335,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,2,6351,perm_fn,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,2,6362,numpy,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,2,6375,perm_fn,TODO
test\test_nn.py,6306,test_transformerencoderlayer,6270,assert_allclose,2,6386,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6295,model,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6297,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6303,model,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6304,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6310,model,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6311,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6317,model,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6320,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6326,model,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6327,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6331,model,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6334,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6350,model,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6361,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6367,model,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6368,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6374,model,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,1,6385,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,2,6296,torch.tensor,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,2,6298,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,2,6318,perm_fn,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,2,6321,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,2,6332,perm_fn,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,2,6335,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,2,6351,perm_fn,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,2,6362,numpy,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,2,6375,perm_fn,TODO
test\test_nn.py,6323,test_transformerencoderlayer,6270,assert_allclose,2,6386,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6295,model,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6297,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6303,model,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6304,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6310,model,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6311,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6317,model,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6320,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6326,model,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6327,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6331,model,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6334,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6350,model,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6361,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6367,model,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6368,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6374,model,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,1,6385,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,2,6296,torch.tensor,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,2,6298,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,2,6318,perm_fn,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,2,6321,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,2,6332,perm_fn,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,2,6335,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,2,6351,perm_fn,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,2,6362,numpy,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,2,6375,perm_fn,TODO
test\test_nn.py,6329,test_transformerencoderlayer,6270,assert_allclose,2,6386,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6295,model,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6297,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6303,model,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6304,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6310,model,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6311,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6317,model,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6320,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6326,model,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6327,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6331,model,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6334,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6350,model,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6361,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6367,model,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6368,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6374,model,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,1,6385,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,2,6296,torch.tensor,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,2,6298,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,2,6318,perm_fn,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,2,6321,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,2,6332,perm_fn,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,2,6335,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,2,6351,perm_fn,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,2,6362,numpy,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,2,6375,perm_fn,TODO
test\test_nn.py,6337,test_transformerencoderlayer,6270,assert_allclose,2,6386,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6295,model,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6297,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6303,model,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6304,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6310,model,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6311,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6317,model,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6320,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6326,model,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6327,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6331,model,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6334,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6350,model,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6361,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6367,model,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6368,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6374,model,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,1,6385,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,2,6296,torch.tensor,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,2,6298,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,2,6318,perm_fn,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,2,6321,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,2,6332,perm_fn,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,2,6335,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,2,6351,perm_fn,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,2,6362,numpy,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,2,6375,perm_fn,TODO
test\test_nn.py,6364,test_transformerencoderlayer,6270,assert_allclose,2,6386,numpy,TODO
test\test_nn.py,6370,test_transformerencoderlayer,6270,assert_allclose,1,6295,model,TODO
test\test_nn.py,6370,test_transformerencoderlayer,6270,assert_allclose,1,6297,numpy,TODO
test\test_nn.py,6370,test_transformerencoderlayer,6270,assert_allclose,1,6303,model,TODO
test\test_nn.py,6370,test_transformerencoderlayer,6270,assert_allclose,1,6304,numpy,TODO
test\test_nn.py,6370,test_transformerencoderlayer,6270,assert_allclose,1,6310,model,TODO
test\test_nn.py,6370,test_transformerencoderlayer,6270,assert_allclose,1,6311,numpy,TODO
test\test_nn.py,6370,test_transformerencoderlayer,6270,assert_allclose,1,6317,model,TODO
